DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191911425,06/05/2019,06/04/2019,1825,19,Mission,1917,997,TRAFFIC COLLISION,3004 3037 3029 3026 3101 3401 3701 4026,25,F,H,101,STREET,SAYRE                        ST,BROMONT                      AV,"(34.3088, -118.4353)"
190212795,05/27/2019,05/26/2019,1417,02,Rampart,0205,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030,19,F,X,101,STREET,W  SUNSET                       BL,N  VENDOME                      ST,"(34.0848, -118.2745)"
191610292,06/14/2019,06/14/2019,1600,16,Foothill,1643,997,TRAFFIC COLLISION,3004 3036 3025 3101 3401 3701 4026,36,M,H,101,STREET,VAN NUYS,SAN FERNANDO,"(34.2661, -118.4221)"
191813692,06/06/2019,06/05/2019,0200,18,Southeast,1801,997,TRAFFIC COLLISION,1501 4018 3036 3006 3028 3030 3101,,M,O,101,STREET,VERMONT                      AV,88TH                         ST,"(33.958, -118.2915)"
191215435,06/05/2019,06/05/2019,1430,12,77th Street,1268,997,TRAFFIC COLLISION,3037 3006 3028 3030 3101 4012 0605,40,F,H,101,STREET,83RD,SAN PEDRO,"(33.9638, -118.2695)"
191814048,06/11/2019,06/11/2019,2015,18,Southeast,1832,997,TRAFFIC COLLISION,3037 3006 3025 3101 4018,18,F,H,101,STREET,110TH                        ST,BROADWAY,"(33.9401, -118.2761)"
191711364,06/12/2019,06/12/2019,2135,17,Devonshire,1764,997,TRAFFIC COLLISION,3004 3026 3101 3401 3701 4026 3036,25,F,H,101,STREET,LASSEN                       ST,TAMPA                        AV,"(34.25, -118.5536)"
191215807,06/10/2019,06/10/2019,0530,12,77th Street,1265,997,TRAFFIC COLLISION,3036 3004 3024 3101 4025 0605,36,M,B,101,STREET,7900 S  VERMONT                      AV,,"(33.9646, -118.2918)"
192111314,06/11/2019,06/11/2019,0800,21,Topanga,2107,997,TRAFFIC COLLISION,4026 3026 3004 3033 3035 3036 3101 3401 3701,27,M,H,101,STREET,CANOGA,PARTHENIA,"(34.2282, -118.597)"
190124902,09/18/2019,09/15/2019,1430,01,Central,0119,997,TRAFFIC COLLISION,0910 0605 3101 3401 3701 3006 3030,65,M,W,834,LA UNION STATION (NOT LINE SPECIFIC),800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)"
190124903,09/18/2019,08/18/2019,1230,01,Central,0154,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,27,M,H,101,STREET,W  5TH                          ST,S  SPRING                       ST,"(34.0474, -118.2496)"
190511077,06/10/2019,06/10/2019,0700,05,Harbor,0518,997,TRAFFIC COLLISION,4025 3037 3026 3101,23,M,H,101,STREET,O                            ST,BROAD                        ST,"(33.7923, -118.2607)"
190124904,10/02/2019,09/30/2019,1930,01,Central,0181,997,TRAFFIC COLLISION,0605 3101 3401 3701 3006 3030,26,F,B,101,STREET,1100 S  FIGUEROA                     ST,,"(34.0431, -118.2692)"
200906272,02/20/2020,02/20/2020,1215,09,Van Nuys,0941,997,TRAFFIC COLLISION,3004 3037 3034 3026 3101 4026,37,M,B,101,STREET,BURBANK                      BL,SEPULVEDA                    BL,"(34.1721, -118.4662)"
190212674,06/07/2019,06/07/2019,1625,02,Rampart,0201,997,TRAFFIC COLLISION,0605 3101 3401 3701 4024 3004 3034 3026,30,F,H,101,STREET,VERMONT,MELROSE,"(34.0836, -118.2917)"
190219393,10/03/2019,10/03/2019,0730,02,Rampart,0201,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3034 3036,34,M,O,101,STREET,SANTA MONICA,ALEXANDRIA,"(34.0909, -118.2984)"
190219657,10/08/2019,10/07/2019,1900,02,Rampart,0219,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3030 3036,19,M,H,101,STREET,SUNSET                       BL,VIN SCULLY                   AV,"(34.0729, -118.2512)"
190115656,06/10/2019,06/01/2019,1500,01,Central,0163,997,TRAFFIC COLLISION,0605 3102 3401 3701 4024 3030 3032 3006,25,F,H,108,PARKING LOT,SPRING,8TH,"(34.0431, -118.2536)"
190219740,10/08/2019,10/08/2019,1430,02,Rampart,0236,997,TRAFFIC COLLISION,0605 3101 3401 3701 3004 3026 3036,64,M,B,101,STREET,BEVERLY,ALVARADO,"(34.0667, -118.2703)"
190510768,06/01/2019,06/01/2019,2000,05,Harbor,0516,997,TRAFFIC COLLISION,0605 3036 3004 3026 3029 3101,18,X,X,101,STREET,ISLAND                       AV,PACIFIC COAST                HY,"(33.791, -118.267)"
191813865,06/08/2019,06/08/2019,2130,18,Southeast,1822,997,TRAFFIC COLLISION,4018 3036 3004 3028 3030 3101,24,M,H,101,STREET,FIGUEROA                     ST,90TH,"(33.9469, -118.2772)"
190215367,07/24/2019,07/23/2019,1300,02,Rampart,0248,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030,,X,X,101,STREET,1500 W  4TH                          ST,,"(34.0579, -118.2649)"
190115883,06/13/2019,06/12/2019,1520,01,Central,0162,997,TRAFFIC COLLISION,,99,M,W,101,STREET,7TH                          ST,FLOWER                       ST,"(34.0491, -118.2593)"
190613214,06/08/2019,06/07/2019,1850,06,Hollywood,0642,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4027,40,F,O,101,STREET,SUNSET                       BL,CURSON                       BL,"(34.0981, -118.355)"
192111394,06/12/2019,06/12/2019,2300,21,Topanga,2142,997,TRAFFIC COLLISION,3004 3026 3036 3101 3401 3701 4021 3029,17,M,W,101,STREET,VICTORY                      BL,PLATT                        AV,"(34.1866, -118.6428)"
192111462,06/14/2019,06/14/2019,1705,21,Topanga,2144,997,TRAFFIC COLLISION,3004 3028 3030 3037 3101 3401 3701 4021,46,F,B,101,STREET,VICTORY                      BL,FALLBROOK                    AV,"(34.1864, -118.6234)"
191011098,06/15/2019,06/15/2019,1205,10,West Valley,1088,997,TRAFFIC COLLISION,3008 3037 3025 3101 3401 3701 4026,,F,O,101,STREET,PETIT                        AV,VENTURA                      BL,"(34.1581, -118.496)"
190711887,06/09/2019,06/09/2019,0230,07,Wilshire,0719,997,TRAFFIC COLLISION,3011 3028 3034 3037 3101 3401 3701 4007,18,,,101,STREET,MELROSE                      AV,WILCOX                       AV,"(34.0835, -118.3321)"
190711911,06/10/2019,06/10/2019,0630,07,Wilshire,0775,997,TRAFFIC COLLISION,3003 3025 3034 3037 3101 3401 3701 4027,99,,,101,STREET,PICKFORD                     ST,RIMPAU                       BL,"(34.0419, -118.3446)"
190711923,06/10/2019,06/10/2019,1320,07,Wilshire,0758,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,58,F,A,101,STREET,WINDSOR                      BL,OLYMPIC                      BL,"(34.0519, -118.3306)"
191215728,05/28/2019,05/28/2019,0220,12,77th Street,1255,997,TRAFFIC COLLISION,3037 3011 3028 3101 3030 4012 0605,18,X,X,101,STREET,1300 W  FLORENCE                     AV,,"(33.9746, -118.2981)"
190314825,06/13/2019,06/13/2019,0720,03,Southwest,0396,997,TRAFFIC COLLISION,3037 3004 3026 3101 4003,38,F,H,101,STREET,MARTIN LUTHER KING JR        BL,MENLO                        AV,"(34.0109, -118.2901)"
190811090,06/12/2019,06/12/2019,1357,08,West LA,0825,997,TRAFFIC COLLISION,3004 3026 3029 3035 3037 3101 3401 3701 4027,30,M,W,101,STREET,SAN VICENTE                  BL,26TH                         ST,"(34.0483, -118.4918)"
191609987,06/07/2019,06/07/2019,0005,16,Foothill,1676,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 3401 3701 4026,,F,O,101,STREET,WHEATLAND                    AV,FES                          ST,"(34.224, -118.3617)"
191312903,06/10/2019,06/09/2019,1315,13,Newton,1391,997,TRAFFIC COLLISION,0605 3101 3401 3701 4013 3004 3026 3036,23,F,B,101,STREET,GAGE                         AV,GRAND                        AV,"(33.9824, -118.2801)"
200906283,02/20/2020,02/20/2020,1720,09,Van Nuys,0932,997,TRAFFIC COLLISION,3003 3037 3032 3026 3103 4026,52,M,H,101,STREET,SEPULVEDA                    BL,OXNARD                       ST,"(34.1839, -118.4605)"
191610327,05/21/2019,05/16/2019,0730,16,Foothill,1651,997,TRAFFIC COLLISION,,26,F,H,101,STREET,KAGEL CANYON                 ST,LAUREL CANYON                BL,"(34.2499, -118.4227)"
190219748,10/07/2019,10/06/2019,0900,02,Rampart,0295,997,TRAFFIC COLLISION,0605 3401 3101 3701 3004 3030,,F,X,101,STREET,BURLINGTON,S  PICO,"(34.044, -118.28)"
